model	score
target	0.51086
target	0.93587
target	0.29630
target	0.74817
target	0.86117
target	0.52017
target	0.73672
target	0.00528
target	0.98589
target	0.58482
target	0.32467
target	0.50234
target	0.83120
target	0.40038
target	0.36367
target	0.85002
target	0.35709
target	0.79411
target	0.39996
target	0.11564
target	0.91275
target	0.71271
target	0.64665
target	0.95668
target	0.37204
target	0.54588
target	0.33310
target	0.56047
target	0.94013
target	0.64827
target	0.36876
target	0.97635
target	0.42859
target	0.91275
target	0.95647
target	0.92039
target	0.44589
target	0.35674
target	0.57367
target	0.08107
target	0.91275
target	0.98829
target	0.95244
target	0.36450
target	0.24289
target	0.33756
target	0.54396
target	0.95700
target	0.07701
target	0.58282
target	0.33076
target	0.23444
target	0.95406
target	0.82323
target	0.33982
target	0.85312
target	0.30900
target	0.89444
target	0.74388
target	0.49807
target	0.45282
target	0.45483
target	0.20738
target	0.40995
target	0.85012
target	0.96655
target	0.26315
target	0.52186
target	0.30945
target	0.32701
target	0.21588
target	0.92629
target	0.48098
target	0.95580
target	0.56530
target	0.86424
target	0.50014
target	0.32907
target	0.93292
target	0.23736
target	0.49068
target	0.18587
target	0.50568
target	0.82418
target	0.39122
target	0.94783
target	0.48068
target	0.51929
target	0.38009
target	0.81140
target	0.98847
target	0.13076
target	0.39492
target	0.85319
target	0.62782
target	0.00357
target	0.44736
target	0.66944
target	0.01242
target	0.54632
target	0.29402
target	0.17646
target	0.40028
target	0.86118
target	0.03129
target	0.89545
