Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
606.83417	77.8340	78.1239	78.3927	2	z2:606.8342	1	2	1211.65378	606.83417	1.0130e8	1	1
506.27429	112.9253	113.3148	113.8113	2	z2:506.2743	1	2	1010.53403	506.27429	1.0130e8	1	1
678.69244	132.6448	133.1377	133.6230	3	z3:678.6924	1	3	2033.05550	678.69244	1.0130e8	1	1
923.99890	124.0938	124.1061	124.5974	2	z2:923.9989	1	2	1844.97989	923.49722	1.0129e8	1	1
407.74451	46.0062	46.1765	46.6041	2	z2:407.7445	1	2	813.47446	407.74451	1.0129e8	1	1
665.86493	132.8231	133.0845	133.5811	2	z2:665.8649	1	2	1329.71531	665.86493	1.0128e8	1	1
529.26056	83.4357	83.8100	84.2908	5	z5:529.2606	1	5	2640.26306	529.05989	1.0128e8	1	1
457.23895	29.9576	30.4568	30.9514	3	z3:457.2390	1	3	1368.69503	457.23895	1.0127e8	1	1
554.32391	92.0617	92.3431	92.8247	3	z3:554.3239	1	3	1658.94656	553.98946	1.0127e8	1	1
787.09344	122.8089	122.8783	123.3734	3	z3:787.0934	1	3	2356.25180	786.42454	1.0127e8	1	1
668.54059	23.6708	23.8008	23.9574	3;4;5	z3:890.7164;z4:668.5406;z5:535.0338	3	4	2669.12982	668.28973	1.0126e8	2	3
593.30585	101.6707	101.8596	102.2742	3	z3:593.3058	1	3	1776.89571	593.30585	1.0126e8	1	1
856.71613	134.1789	134.3474	134.6222	3;4	z3:1141.6176;z4:856.7161	2	4	3419.82456	855.96342	1.0125e8	2	4
884.92908	89.7733	90.2637	90.7454	2	z2:884.9291	1	2	1768.84696	885.43075	1.0125e8	1	1
837.42566	76.7468	77.0136	77.3653	2	z2:837.4257	1	2	1672.83677	837.42566	1.0125e8	1	1
429.30106	154.8964	155.0897	155.3255	2	z2:429.3011	1	2	856.58756	429.30106	1.0125e8	1	1
597.65173	71.0678	71.2990	71.4550	3	z3:597.6517	1	3	1788.93002	597.31728	1.0125e8	1	1
546.23474	85.0412	85.2760	85.5211	2;3	z2:818.3475;z3:546.2347	2	3	1634.67918	545.90034	1.0123e8	2	3
714.82458	53.2279	53.2959	53.4519	2	z2:714.8246	1	2	1427.63462	714.82458	1.0123e8	1	1
919.38361	44.8348	45.1690	45.3795	2	z2:919.3836	1	2	1836.75266	919.38361	1.0120e8	1	1
489.60623	97.6139	98.1046	98.6019	3	z3:489.6062	1	3	1465.79687	489.60623	1.0119e8	1	1
837.44855	39.6506	39.7954	40.2484	1	z1:837.4485	1	1	836.44127	837.44855	1.0119e8	1	1
851.96259	113.4189	113.6923	114.0577	6	z6:851.9626	1	6	5103.72514	851.62813	1.0119e8	1	1
525.72821	86.6605	86.7237	87.2196	4	z4:525.7282	1	4	2097.88038	525.47737	1.0119e8	1	1
428.21466	27.9035	28.3939	28.7352	2;3	z2:641.8193;z3:428.2147	2	3	1281.62284	428.21489	1.0119e8	2	2
627.55524	72.5585	73.0518	73.5444	5	z5:627.5552	1	5	3130.73309	627.15389	1.0118e8	1	1
602.31592	129.8080	130.0742	130.5608	2	z2:602.3159	1	2	1202.61728	602.31592	1.0118e8	1	1
942.51807	111.4090	111.6196	112.0768	2	z2:942.5181	1	2	1882.01823	942.01639	1.0117e8	1	1
772.39069	41.7648	41.9477	42.1903	2	z2:772.3907	1	2	1542.76682	772.39069	1.0116e8	1	1
748.66443	56.1761	56.3785	56.6625	3	z3:748.6644	1	3	2241.96810	748.32998	1.0115e8	1	1
510.28613	66.3457	66.5560	67.0438	2	z2:510.2861	1	2	1018.55771	510.28613	1.0115e8	1	1
426.22952	53.0545	53.2279	53.7211	4	z4:426.2295	1	4	1700.88898	426.22952	1.0115e8	1	1
491.30884	79.8042	80.1063	80.4367	2	z2:491.3088	1	2	980.60312	491.30884	1.0115e8	1	1
405.87796	42.0504	42.3800	42.7449	3	z3:405.8780	1	3	1214.61205	405.87796	1.0112e8	1	1
589.30817	37.0590	37.3101	37.4942	3	z3:589.3082	1	3	1764.90267	589.30817	1.0111e8	1	1
445.22476	53.8175	54.3046	54.6904	4	z4:445.2248	1	4	1776.86994	445.22476	1.0110e8	1	1
676.34155	85.7006	86.0283	86.4302	2	z2:676.3416	1	2	1350.66855	676.34155	1.0110e8	1	1
677.93823	114.6927	115.1245	115.5898	2	z2:677.9382	1	2	1353.86191	677.93823	1.0110e8	1	1
455.27994	49.8929	50.3078	50.5913	2	z2:455.2799	1	2	908.54532	455.27994	1.0108e8	1	1
570.95996	71.6144	71.9453	72.3381	3	z3:570.9600	1	3	1710.86141	571.29441	1.0107e8	1	1
427.23376	61.0362	61.2988	61.5943	4	z4:427.2338	1	4	1704.90595	427.23376	1.0106e8	1	1
615.30316	111.3223	111.7908	112.2574	6	z6:615.3032	1	6	3682.76525	614.80148	1.0106e8	1	1
