mono_mass	mz	charge	rt	intensity	intensity_decile	category	nearest_rtmatch_rt_delta_min	nearest_rtmatch_charge	closest_by_mass_ppm	closest_by_mass_rt_delta_min	closest_by_mass_charge
1778.92566	594.31812	3	129.2199	3.5652e+05	1	rt_miss	-4.5053	3	-19.10	-29.1670	2;3
1880.93807	627.98816	3	136.3244	3.5722e+05	1	rt_miss	-2.5986	2	19.79	-73.5014	4
1238.57137	620.29321	2	26.9180	3.5949e+05	1	rt_miss	0.5517	3	18.44	59.2773	2
1731.00430	578.00970	3	123.5864	3.6201e+05	1	rt_miss	-19.5007	4	18.01	-36.4416	3
1493.73619	498.92062	3	63.7875	3.6502e+05	1	rt_miss	-1.7864	2	19.70	-14.1227	3
1286.71691	429.91321	3	71.8736	3.6659e+05	1	rt_miss	-0.7144	3	5.49	-33.9608	2
2984.52504	747.39117	4	142.5594	3.6791e+05	1	rt_miss	-2.2646	4	-17.10	-69.3341	4
915.50255	458.75882	2	29.5716	3.7073e+05	1	rt_miss	-5.7385	2	-0.55	-5.7385	2
1202.66592	602.34222	2	78.8485	3.7255e+05	1	rt_miss	-0.5698	2	-19.63	-2.6561	2
905.51232	453.76385	2	98.6130	3.7292e+05	1	rt_miss	-5.8924	1;2	12.25	-16.0650	2
1442.80929	481.94400	3	56.1761	3.7442e+05	1	rt_miss	2.3719	2	17.56	-16.4674	3
1000.62808	501.32141	2	124.9918	3.7508e+05	1	rt_miss	3.5483	1;2	5.99	4.4349	2
1990.98475	665.00488	3	114.9203	3.7545e+05	1	rt_miss	0.6695	3	-19.19	-51.4149	3
1377.73646	460.25275	3	27.1482	3.7672e+05	1	rt_miss	0.3437	3	-19.49	0.3437	3
1891.97921	632.00146	3	67.9706	3.7818e+05	1	rt_miss	5.5590	4	19.13	33.9138	3
1179.61355	590.81415	2	88.7230	3.8156e+05	1	rt_miss	-0.4418	2	-16.66	-28.0132	2
1569.88788	785.95172	2	152.1172	3.8217e+05	1	rt_miss	-3.4657	2	18.99	-32.9238	2
1724.84099	575.95502	3	105.5464	3.8322e+05	1	rt_miss	15.5471	2	17.16	-15.8943	2
1255.67722	419.56613	3	27.4166	3.8517e+05	1	rt_miss	4.4282	3	-17.13	8.1561	2;3
1313.73434	657.87628	2	136.1820	3.8528e+05	1	rt_miss	-0.4307	2;3	16.59	-74.0459	2;3
1255.70237	628.86139	2	122.6630	3.8674e+05	1	rt_miss	0.6521	2	18.95	-78.4971	2
1477.71612	493.58084	3	36.2465	3.8750e+05	1	rt_miss	0.3182	3	-17.99	0.3182	3
1243.63496	622.82397	2	116.7374	3.8912e+05	1	rt_miss	-1.8552	2	18.23	-52.4219	2
1747.88281	583.63391	3	92.4927	3.9196e+05	1	rt_miss	0.6134	3	14.82	-30.9849	3
1425.65583	476.22638	3	36.9120	3.9422e+05	1	rt_miss	-0.4266	2;3	-16.95	4.8899	3
1181.66961	591.84235	2	122.7495	3.9584e+05	1	rt_miss	-1.0828	1;2	8.40	-51.3998	2
2221.08375	741.70111	3	126.2370	3.9674e+05	1	rt_miss	-0.3215	3	-18.43	-21.2551	3
1501.73073	751.87451	2	30.3888	4.0009e+05	1	rt_miss	0.5528	2;3	-19.54	67.8991	2
1321.68778	441.56979	3	32.0686	4.0239e+05	1	rt_miss	2.6337	2	-16.03	77.4619	3
1298.72344	433.91473	3	80.6791	4.0250e+05	1	rt_miss	-1.9655	3	18.93	20.3302	2
