decon_thr	decon_recall	decon_feat_kept	log10int_thr	int_recall	int_feat_kept
0.5720	0.97708	0.26400	7.7200	0.11850	0.00105
0.5740	0.97707	0.26154	7.7400	0.11508	0.00102
0.5760	0.97706	0.25906	7.7600	0.11146	0.00098
0.5780	0.97704	0.25667	7.7800	0.10784	0.00095
0.5800	0.97699	0.25389	7.8000	0.10419	0.00091
0.5820	0.97698	0.25057	7.8200	0.10059	0.00088
0.5840	0.97696	0.24797	7.8400	0.09726	0.00084
0.5860	0.97695	0.24496	7.8600	0.09329	0.00081
0.5880	0.97691	0.24142	7.8800	0.08982	0.00078
0.5900	0.97690	0.23831	7.9000	0.08666	0.00075
0.5920	0.97687	0.23644	7.9200	0.08307	0.00072
0.5940	0.97686	0.23459	7.9400	0.07980	0.00069
0.5960	0.97683	0.23240	7.9600	0.07612	0.00066
0.5980	0.97681	0.23059	7.9800	0.07264	0.00062
0.6000	0.97679	0.22838	8.0000	0.06895	0.00059
0.6020	0.97678	0.22660	8.0200	0.06551	0.00056
0.6040	0.97674	0.22484	8.0400	0.06201	0.00053
0.6060	0.97672	0.22310	8.0600	0.05884	0.00051
0.6080	0.97669	0.22101	8.0800	0.05544	0.00048
0.6100	0.97664	0.21930	8.1000	0.05207	0.00045
0.6120	0.97661	0.21726	8.1200	0.04895	0.00042
0.6140	0.97657	0.21558	8.1400	0.04557	0.00039
0.6160	0.97656	0.21393	8.1600	0.04263	0.00037
0.6180	0.97652	0.21191	8.1800	0.03961	0.00034
0.6200	0.97649	0.21027	8.2000	0.03643	0.00031
0.6220	0.97646	0.20838	8.2200	0.03380	0.00029
0.6240	0.97640	0.20678	8.2400	0.03108	0.00027
0.6260	0.97637	0.20520	8.2600	0.02861	0.00025
0.6280	0.97635	0.20328	8.2800	0.02605	0.00023
0.6300	0.97634	0.20175	8.3000	0.02375	0.00021
0.6320	0.97630	0.19977	8.3200	0.02169	0.00019
0.6340	0.97627	0.19828	8.3400	0.01950	0.00018
0.6360	0.97625	0.19681	8.3600	0.01760	0.00016
0.6380	0.97620	0.19505	8.3800	0.01604	0.00015
0.6400	0.97615	0.19334	8.4000	0.01453	0.00014
0.6420	0.97611	0.19190	8.4200	0.01337	0.00013
0.6440	0.97610	0.19006	8.4400	0.01221	0.00012
0.6460	0.97605	0.18867	8.4600	0.01106	0.00011
0.6480	0.97601	0.18671	8.4800	0.01015	0.00010
0.6500	0.97596	0.18489	8.5000	0.00930	0.00009
0.6520	0.97592	0.18327	8.5200	0.00838	0.00008
0.6540	0.97589	0.18191	8.5400	0.00771	0.00008
0.6560	0.97587	0.18034	8.5600	0.00705	0.00007
0.6580	0.97580	0.17834	8.5800	0.00638	0.00006
0.6600	0.97576	0.17644	8.6000	0.00584	0.00006
0.6620	0.97573	0.17417	8.6200	0.00526	0.00005
0.6640	0.97569	0.17074	8.6400	0.00469	0.00005
0.6660	0.97562	0.16947	8.6600	0.00422	0.00004
0.6680	0.97559	0.16818	8.6800	0.00357	0.00004
0.6700	0.97556	0.16691	8.7000	0.00301	0.00003
0.6720	0.97552	0.16564	8.7200	0.00263	0.00003
0.6740	0.97547	0.16412	8.7400	0.00227	0.00003
0.6760	0.97540	0.16288	8.7600	0.00182	0.00002
0.6780	0.97536	0.16159	8.7800	0.00163	0.00002
0.6800	0.97529	0.16039	8.8000	0.00133	0.00002
0.6820	0.97523	0.15922	8.8200	0.00114	0.00001
0.6840	0.97517	0.15808	8.8400	0.00093	0.00001
0.6860	0.97512	0.15694	8.8600	0.00071	0.00001
0.6880	0.97508	0.15581	8.8800	0.00061	0.00001
0.6900	0.97506	0.15470	8.9000	0.00047	0.00001
0.6920	0.97502	0.15360	8.9200	0.00039	0.00000
0.6940	0.97498	0.15249	8.9400	0.00032	0.00000
0.6960	0.97495	0.15139	8.9600	0.00026	0.00000
0.6980	0.97491	0.14988	8.9800	0.00019	0.00000
0.7000	0.97486	0.14880	9.0000	0.00013	0.00000
0.7020	0.97479	0.14771	9.0200	0.00008	0.00000
0.7040	0.97475	0.14665	9.0400	0.00005	0.00000
0.7060	0.97468	0.14560	9.0600	0.00004	0.00000
0.7080	0.97461	0.14418	9.0800	0.00003	0.00000
0.7100	0.97454	0.14316	9.1000	0.00002	0.00000
0.7120	0.97447	0.14214	9.1200	0.00001	0.00000
0.7140	0.97441	0.14112	9.1400	0.00001	0.00000
0.7160	0.97432	0.14010	9.1600	0.00001	0.00000
0.7180	0.97425	0.13912	9.1800	0.00001	0.00000
0.7200	0.97418	0.13817	9.2000	0.00001	0.00000
0.7220	0.97411	0.13726	9.2200	0.00001	0.00000
0.7240	0.97403	0.13638	9.2400	0.00001	0.00000
0.7260	0.97395	0.13520	9.2600	0.00001	0.00000
0.7280	0.97389	0.13434	9.2800	0.00001	0.00000
0.7300	0.97384	0.13350	9.3000	0.00000	0.00000
0.7320	0.97375	0.13265	9.3200	0.00000	0.00000
0.7340	0.97367	0.13179	9.3400	0.00000	0.00000
0.7360	0.97360	0.13095	9.3600	0.00000	0.00000
0.7380	0.97354	0.12978	9.3800	0.00000	0.00000
0.7400	0.97347	0.12894	9.4000	0.00000	0.00000
0.7420	0.97341	0.12811	9.4200	0.00000	0.00000
0.7440	0.97331	0.12729	9.4400	0.00000	0.00000
0.7460	0.97322	0.12647	9.4600	0.00000	0.00000
0.7480	0.97313	0.12565	9.4800	0.00000	0.00000
0.7500	0.97306	0.12484	9.5000	0.00000	0.00000
0.7520	0.97297	0.12403	9.5200	0.00000	0.00000
0.7540	0.97285	0.12286	9.5400	0.00000	0.00000
0.7560	0.97278	0.12205	9.5600	0.00000	0.00000
0.7580	0.97265	0.12124	9.5800	0.00000	0.00000
0.7600	0.97254	0.12044	9.6000	0.00000	0.00000
0.7620	0.97247	0.11965	9.6200	0.00000	0.00000
0.7640	0.97237	0.11886	9.6400	0.00000	0.00000
0.7660	0.97228	0.11775	9.6600	0.00000	0.00000
0.7680	0.97220	0.11701	9.6800	0.00000	0.00000
0.7700	0.97209	0.11631	9.7000	0.00000	0.00000
0.7720	0.97201	0.11560	9.7200	0.00000	0.00000
0.7740	0.97189	0.11489	9.7400	0.00000	0.00000
0.7760	0.97180	0.11418	9.7600	0.00000	0.00000
0.7780	0.97170	0.11347	9.7800	0.00000	0.00000
0.7800	0.97160	0.11277	9.8000	0.00000	0.00000
0.7820	0.97147	0.11175	9.8200	0.00000	0.00000
0.7840	0.97134	0.11106	9.8400	0.00000	0.00000
0.7860	0.97123	0.11036	9.8600	0.00000	0.00000
0.7880	0.97109	0.10967	9.8800	0.00000	0.00000
0.7900	0.97096	0.10899	9.9000	0.00000	0.00000
0.7920	0.97089	0.10831	9.9200	0.00000	0.00000
0.7940	0.97074	0.10762	9.9400	0.00000	0.00000
0.7960	0.97066	0.10693	9.9600	0.00000	0.00000
0.7980	0.97053	0.10625	9.9800	0.00000	0.00000
0.8000	0.97040	0.10557	10.0000	0.00000	0.00000
0.8020	0.97025	0.10490	10.0200	0.00000	0.00000
0.8040	0.97009	0.10389	10.0400	0.00000	0.00000
0.8060	0.96995	0.10321	10.0600	0.00000	0.00000
0.8080	0.96984	0.10254	10.0800	0.00000	0.00000
0.8100	0.96972	0.10187	10.1000	0.00000	0.00000
0.8120	0.96958	0.10119	10.1200	0.00000	0.00000
0.8140	0.96944	0.10051	10.1400	0.00000	0.00000
0.8160	0.96930	0.09982	10.1600	0.00000	0.00000
0.8180	0.96910	0.09913	10.1800	0.00000	0.00000
0.8200	0.96891	0.09822	10.2000	0.00000	0.00000
0.8220	0.96872	0.09752	10.2200	0.00000	0.00000
0.8240	0.96856	0.09682	10.2400	0.00000	0.00000
0.8260	0.96837	0.09611	10.2600	0.00000	0.00000
0.8280	0.96815	0.09542	10.2800	0.00000	0.00000
0.8300	0.96798	0.09471	10.3000	0.00000	0.00000
0.8320	0.96779	0.09382	10.3200	0.00000	0.00000
0.8340	0.96760	0.09312	10.3400	0.00000	0.00000
0.8360	0.96741	0.09242	10.3600	0.00000	0.00000
0.8380	0.96717	0.09178	10.3800	0.00000	0.00000
0.8400	0.96690	0.09115	10.4000	0.00000	0.00000
0.8420	0.96672	0.09052	10.4200	0.00000	0.00000
0.8440	0.96647	0.08989	10.4400	0.00000	0.00000
0.8460	0.96625	0.08926	10.4600	0.00000	0.00000
0.8480	0.96593	0.08842	10.4800	0.00000	0.00000
0.8500	0.96568	0.08780	10.5000	0.00000	0.00000
0.8520	0.96532	0.08695	10.5200	0.00000	0.00000
0.8540	0.96498	0.08609	10.5400	0.00000	0.00000
0.8560	0.96460	0.08524	10.5600	0.00000	0.00000
0.8580	0.96427	0.08438	10.5800	0.00000	0.00000
0.8600	0.96394	0.08353	10.6000	0.00000	0.00000
0.8620	0.96359	0.08268	10.6200	0.00000	0.00000
0.8640	0.96327	0.08184	10.6400	0.00000	0.00000
0.8660	0.96283	0.08099	10.6600	0.00000	0.00000
0.8680	0.96242	0.08015	10.6800	0.00000	0.00000
0.8700	0.96193	0.07848	10.7000	0.00000	0.00000
0.8720	0.96139	0.07763	10.7200	0.00000	0.00000
0.8740	0.96091	0.07678	10.7400	0.00000	0.00000
0.8760	0.96033	0.07592	10.7600	0.00000	0.00000
0.8780	0.95987	0.07508	10.7800	0.00000	0.00000
0.8800	0.95940	0.07424	10.8000	0.00000	0.00000
0.8820	0.95889	0.07340	10.8200	0.00000	0.00000
0.8840	0.95825	0.07178	10.8400	0.00000	0.00000
0.8860	0.95777	0.07092	10.8600	0.00000	0.00000
0.8880	0.95721	0.07008	10.8800	0.00000	0.00000
0.8900	0.95660	0.06922	10.9000	0.00000	0.00000
0.8920	0.95579	0.06764	10.9200	0.00000	0.00000
0.8940	0.95510	0.06680	10.9400	0.00000	0.00000
0.8960	0.95437	0.06595	10.9600	0.00000	0.00000
0.8980	0.95361	0.06508	10.9800	0.00000	0.00000
0.9000	0.95268	0.06320	11.0000	0.00000	0.00000
0.9020	0.95199	0.06235	11.0200	0.00000	0.00000
0.9040	0.95120	0.06150	11.0400	0.00000	0.00000
0.9060	0.95036	0.06063	11.0600	0.00000	0.00000
0.9080	0.94943	0.05981	11.0800	0.00000	0.00000
0.9100	0.94833	0.05896	11.1000	0.00000	0.00000
0.9120	0.94745	0.05811	11.1200	0.00000	0.00000
0.9140	0.94629	0.05620	11.1400	0.00000	0.00000
0.9160	0.94513	0.05535	11.1600	0.00000	0.00000
